Make	Model	Vehicle Class	Engine Size(L)	Cylinders	Transmission	Fuel Type	Fuel Consumption City (L/100 km)	Fuel Consumption Hwy (L/100 km)	Fuel Consumption Comb (L/100 km)	Fuel Consumption Comb (mpg)	CO2 Emissions(g/km)
FIAT	500X AWD	SUV - SMALL	2.4	4	A9	X	11	7.9	9.6	29	224
FORD	C-MAX HYBRID	FULL-SIZE	2	4	AV	X	5.6	6.4	6	47	140
FORD	EDGE	SUV - SMALL	2	4	AS6	X	11.5	7.8	9.8	29	231
FORD	EDGE (Start/Stop)	SUV - SMALL	2	4	AS6	X	11.3	7.9	9.8	29	228
FORD	EDGE	SUV - SMALL	3.5	6	AS6	X	13.4	9	11.4	25	268
FORD	EDGE AWD	SUV - SMALL	2	4	AS6	X	11.8	8.4	10.3	27	240
FORD	EDGE AWD	SUV - SMALL	2.7	6	AS6	X	13.6	9.8	11.9	24	278
FORD	EDGE AWD	SUV - SMALL	3.5	6	AS6	X	13.7	9.6	11.8	24	278
AUDI	S8 QUATTRO	MID-SIZE	4	8	AS8	Z	15.7	9.4	12.8	22	300
AUDI	SQ5 QUATTRO	SUV - SMALL	3	6	AS8	Z	14.1	9.9	12.2	23	285
AUDI	TT COUPE QUATTRO	SUBCOMPACT	2	4	AM6	X	10.1	7.8	9.1	31	209
AUDI	TT ROADSTER QUATTRO	TWO-SEATER	2	4	AM6	X	10.1	7.8	9.1	31	209
AUDI	TTS COUPE QUATTRO	SUBCOMPACT	2	4	AM6	Z	10.3	8.6	9.5	30	222
BENTLEY	CONTINENTAL GT	COMPACT	4	8	AS8	Z	16.1	9.4	13.1	22	307
BENTLEY	CONTINENTAL GT	COMPACT	6	12	AS8	Z	18.9	11.2	15.4	18	360
BENTLEY	CONTINENTAL GT CONVERTIBLE	SUBCOMPACT	4	8	AS8	Z	17.7	10.3	14.4	20	337
BENTLEY	CONTINENTAL GT CONVERTIBLE	SUBCOMPACT	6	12	AS8	Z	19.6	11.7	16	18	375
BENTLEY	FLYING SPUR	MID-SIZE	4	8	AS8	Z	17.7	10	14.2	20	334
BENTLEY	FLYING SPUR	MID-SIZE	6	12	AS8	Z	20.3	11.9	16.5	17	388
BENTLEY	MULSANNE	MID-SIZE	6.8	8	AS8	Z	21	13.1	17.5	16	408
BMW	228i	SUBCOMPACT	2	4	AS8	Z	9.9	6.5	8.4	34	197
BMW	228i	SUBCOMPACT	2	4	M6	Z	10.7	7	9	31	211
BMW	228i xDRIVE	SUBCOMPACT	2	4	AS8	Z	10.4	6.8	8.8	32	207
BMW	228i xDRIVE CABRIOLET	SUBCOMPACT	2	4	AS8	Z	10.5	6.9	8.9	32	209
BMW	320i	COMPACT	2	4	AS8	Z	9.9	6.5	8.4	34	197
BMW	320i	COMPACT	2	4	M6	Z	10.7	7	9	31	211
KIA	SOUL	STATION WAGON - SMALL	2	4	AS6	X	9.8	7.5	8.8	32	208
KIA	SOUL ECO DYNAMICS	STATION WAGON - SMALL	2	4	AS6	X	9.7	7.7	8.8	32	208
KIA	SPORTAGE	SUV - SMALL	2.4	4	AS6	X	11.4	8.3	10	28	231
KIA	SPORTAGE	SUV - SMALL	2.4	4	M6	X	12.9	9.2	11.3	25	261
KIA	SPORTAGE AWD	SUV - SMALL	2	4	AS6	X	12.6	9.7	11.3	25	261
KIA	SPORTAGE AWD	SUV - SMALL	2.4	4	AS6	X	12	9.3	10.8	26	251
LAMBORGHINI	AVENTADOR COUPE	TWO-SEATER	6.5	12	AM7	Z	22.2	12.7	17.9	16	420
LAMBORGHINI	AVENTADOR ROADSTER	TWO-SEATER	6.5	12	AM7	Z	23.6	14.1	19.3	15	452
LAMBORGHINI	HURACAN	TWO-SEATER	5.2	10	AM7	Z	16.4	11.4	14.2	20	331
LAMBORGHINI	HURACAN SPYDER	TWO-SEATER	5.2	10	AM7	Z	16.9	11.8	14.6	19	340
LAND ROVER	DISCOVERY SPORT	SUV - SMALL	2	4	AS9	Z	11.9	9	10.6	27	248
